[-0.315823, -0.255823] ; [0.974, 1.034] ; [1.27217, 1.33217]
[-0.313117, -0.253117] ; [0.97387, 1.03387] ; [1.27295, 1.33295]
[-0.309929, -0.249929] ; [0.97365, 1.03365] ; [1.27328, 1.33328]
[-0.306708, -0.246708] ; [0.9734, 1.0334] ; [1.27359, 1.33359]
[-0.303461, -0.243461] ; [0.97298, 1.03298] ; [1.27384, 1.33384]
[-0.300338, -0.240338] ; [0.97285, 1.03285] ; [1.2742, 1.3342]
[-0.297154, -0.237154] ; [0.97263, 1.03263] ; [1.27451, 1.33451]
[-0.294074, -0.234074] ; [0.97238, 1.03238] ; [1.27485, 1.33485]
[-0.290835, -0.230835] ; [0.97214, 1.03214] ; [1.2752, 1.3352]
[-0.28762, -0.22762] ; [0.97195, 1.03195] ; [1.2756, 1.3356]
[-0.284252, -0.224252] ; [0.97147, 1.03147] ; [1.27574, 1.33574]
[-0.281035, -0.221035] ; [0.97117, 1.03117] ; [1.27599, 1.33599]
[-0.277795, -0.217795] ; [0.97092, 1.03092] ; [1.27642, 1.33642]
[-0.274526, -0.214526] ; [0.97066, 1.03066] ; [1.2767, 1.3367]
[-0.271259, -0.211259] ; [0.97035, 1.03035] ; [1.27694, 1.33694]
[-0.26477, -0.20477] ; [0.969605, 1.02961] ; [1.27726, 1.33726]
[-0.26477, -0.20477] ; [0.969605, 1.02961] ; [1.27726, 1.33726]
[-0.258207, -0.198207] ; [0.969043, 1.02904] ; [1.27791, 1.33791]
[-0.254832, -0.194832] ; [0.968774, 1.02877] ; [1.27815, 1.33815]
[-0.251384, -0.191384] ; [0.968893, 1.02889] ; [1.27851, 1.33851]
[-0.248119, -0.188119] ; [0.968454, 1.02845] ; [1.27869, 1.33869]
[-0.244936, -0.184936] ; [0.967621, 1.02762] ; [1.27853, 1.33853]
[-0.241592, -0.181592] ; [0.967255, 1.02726] ; [1.27879, 1.33879]
[-0.238266, -0.178266] ; [0.966937, 1.02694] ; [1.27894, 1.33894]
[-0.234949, -0.174949] ; [0.966686, 1.02669] ; [1.27926, 1.33926]
[-0.231416, -0.171416] ; [0.966837, 1.02684] ; [1.27961, 1.33961]
[-0.228189, -0.168189] ; [0.966052, 1.02605] ; [1.27963, 1.33963]
[-0.224729, -0.164729] ; [0.965846, 1.02585] ; [1.27986, 1.33986]
[-0.221443, -0.161443] ; [0.965463, 1.02546] ; [1.27994, 1.33994]
[-0.218156, -0.158156] ; [0.964955, 1.02496] ; [1.28012, 1.34012]
[-0.214775, -0.154775] ; [0.964933, 1.02493] ; [1.28045, 1.34045]
[-0.211344, -0.151344] ; [0.964344, 1.02434] ; [1.28042, 1.34042]
[-0.207973, -0.147973] ; [0.963899, 1.0239] ; [1.28054, 1.34054]
[-0.204645, -0.144645] ; [0.963554, 1.02355] ; [1.28065, 1.34065]
[-0.198054, -0.138054] ; [0.962673, 1.02267] ; [1.28088, 1.34088]
[-0.194274, -0.134274] ; [0.961835, 1.02184] ; [1.28065, 1.34065]
[-0.191395, -0.131395] ; [0.961567, 1.02157] ; [1.28117, 1.34117]
[-0.18811, -0.12811] ; [0.961157, 1.02116] ; [1.28115, 1.34115]
