[-0.306304, -0.0534258] ; [0.86801, 1.12368] ; [1.20121, 1.43009]
[-0.307386, -0.049996] ; [0.865428, 1.12626] ; [1.20039, 1.43199]
[-0.308411, -0.0468036] ; [0.862989, 1.1287] ; [1.19962, 1.43378]
[-0.309462, -0.0435942] ; [0.860492, 1.1312] ; [1.19883, 1.43563]
[-0.310517, -0.0404335] ; [0.857989, 1.1337] ; [1.19803, 1.43748]
[-0.311569, -0.0373469] ; [0.855495, 1.1362] ; [1.19723, 1.43933]
[-0.312636, -0.0342773] ; [0.85297, 1.13872] ; [1.19643, 1.4412]
[-0.313686, -0.0313166] ; [0.850492, 1.1412] ; [1.19563, 1.44304]
[-0.314735, -0.0284194] ; [0.848021, 1.14367] ; [1.19484, 1.44489]
[-0.315794, -0.0255547] ; [0.84553, 1.14616] ; [1.19404, 1.44675]
[-0.316833, -0.0228071] ; [0.843089, 1.1486] ; [1.19325, 1.44857]
[-0.317885, -0.0200849] ; [0.840625, 1.15107] ; [1.19245, 1.45042]
[-0.318939, -0.0174187] ; [0.83816, 1.15353] ; [1.19166, 1.45227]
[-0.319992, -0.0148144] ; [0.835704, 1.15599] ; [1.19086, 1.45413]
[-0.321044, -0.0122734] ; [0.833253, 1.15844] ; [1.19006, 1.45598]
[-0.322102, -0.0097781] ; [0.830793, 1.1609] ; [1.18926, 1.45784]
[-0.32315, -0.0073665] ; [0.828362, 1.16333] ; [1.18846, 1.45968]
[-0.324196, -0.00507556] ; [0.825945, 1.16575] ; [1.18767, 1.46152]
[-0.325248, -0.00282898] ; [0.82352, 1.16817] ; [1.18687, 1.46337]
[-0.326309, -0.000622079] ; [0.821082, 1.17061] ; [1.18606, 1.46524]
[-0.327376, 0.00153641] ; [0.818632, 1.17306] ; [1.18525, 1.46712]
